0.0,1960.86,200.34,2.97,0.08,990.89,27.33,492.34,0.00
0.05,720.08,99.11,3.27,0.12,982.42,35.19,494.07,0.08
0.1,479.27,48.74,3.29,0.07,991.96,24.12,493.87,0.07
0.15,535.31,35.84,3.32,0.09,990.88,27.36,494.12,0.08
0.2,908.43,17.37,3.43,0.01,1000.00,0.00,493.92,0.08
0.25,921.00,24.62,3.49,0.01,1000.00,0.00,494.19,0.05
0.3,869.53,25.22,3.38,0.02,1000.00,0.00,494.07,0.00
0.35,846.72,27.89,3.57,0.02,1000.00,0.00,494.10,0.08
0.4,933.81,31.72,3.45,0.04,1000.00,0.00,494.14,0.06
0.45,923.56,8.36,3.65,0.01,1000.00,0.00,493.97,0.08
0.5,936.30,4.26,3.46,0.01,1000.00,0.00,494.23,0.06
0.55,904.16,19.07,3.48,0.01,1000.00,0.00,494.00,0.06
0.6,947.47,7.46,3.42,0.01,1000.00,0.00,494.32,0.08
0.65,975.17,3.48,3.38,0.01,1000.00,0.00,494.00,0.00
0.7,987.98,3.72,3.39,0.01,1000.00,0.00,494.01,0.07
