0.0,572.29,67.67,1.01,0.12,110.15,13.14,531.95,0.00
0.05,476.61,40.52,0.91,0.08,90.73,7.38,535.55,0.00
0.1,507.20,32.21,0.99,0.06,99.39,5.62,534.90,0.09
0.15,383.26,20.37,0.74,0.05,71.40,3.95,534.71,0.10
0.2,370.65,23.33,0.70,0.04,68.11,4.30,535.21,0.00
0.25,288.31,6.86,0.56,0.01,53.30,1.10,534.86,0.00
0.3,319.89,13.88,0.61,0.03,59.04,2.60,534.21,0.12
0.35,269.41,5.48,0.51,0.01,49.67,0.92,534.14,0.09
0.4,362.44,22.15,0.70,0.06,66.84,4.92,534.75,0.00
0.45,319.93,12.54,0.63,0.03,58.96,2.40,534.50,0.07
0.5,336.19,21.47,0.66,0.05,61.67,4.25,534.53,0.11
0.55,346.25,7.68,0.70,0.02,63.45,1.44,534.58,0.07
0.6,444.84,18.90,0.92,0.05,83.62,3.68,534.49,0.09
0.65,354.97,18.05,0.76,0.04,69.19,3.00,534.70,0.10
0.7,349.19,7.92,0.71,0.02,63.53,1.56,534.02,0.00
