0.0,11.63,9.02,0.19,0.06,36.60,11.66,531.58,0.00
0.05,7.52,9.62,0.19,0.08,31.48,12.96,532.71,0.00
0.1,18.97,23.45,0.27,0.16,44.87,26.66,532.99,0.07
0.15,45.61,14.23,0.46,0.09,77.82,14.52,533.86,0.07
0.2,63.26,7.02,0.54,0.04,90.95,7.09,533.22,0.00
0.25,64.77,10.10,0.55,0.06,91.52,9.70,533.54,0.00
0.3,59.22,4.93,0.54,0.03,89.44,5.98,532.97,0.07
0.35,46.99,4.34,0.45,0.03,76.12,4.04,533.70,0.00
0.4,352.19,46.91,2.27,0.27,378.83,46.12,532.42,0.00
0.45,61.60,14.75,0.55,0.08,92.01,13.42,532.97,0.10
0.5,22.90,18.85,0.27,0.09,44.87,14.90,532.54,0.09
0.55,54.28,53.09,0.46,0.25,76.85,42.04,532.61,0.00
0.6,21.52,15.27,0.26,0.07,43.72,11.62,533.04,0.10
0.65,17.50,16.94,0.25,0.10,42.27,16.24,533.06,0.11
0.7,15.36,15.07,0.24,0.09,40.59,15.57,532.89,0.10
