0.0,1563.54,383.81,0.72,0.02,1000.00,0.00,422.72,0.00,112.47
0.05,263.37,369.56,0.71,0.02,1000.00,0.00,416.74,0.07,128.67
0.1,474.47,255.45,0.72,0.01,1000.00,0.00,417.23,0.07,119.88
0.15,750.45,268.65,0.71,0.00,1000.00,0.00,417.46,0.00,127.14
0.2,1204.15,325.23,0.71,0.01,1000.00,0.00,417.41,0.07,127.31
0.25,740.73,98.86,0.72,0.01,1000.00,0.00,417.50,0.00,128.12
0.3,769.88,132.70,0.72,0.01,1000.00,0.00,417.05,0.00,128.18
0.35,788.10,70.43,0.72,0.01,1000.00,0.00,417.75,0.07,127.94
0.4,766.63,78.32,0.72,0.00,1000.00,0.00,417.81,0.00,128.00
0.45,835.99,66.52,0.71,0.00,1000.00,0.00,417.34,0.00,126.27
0.5,867.92,31.69,0.71,0.01,1000.00,0.00,417.33,0.00,127.41
0.55,935.04,38.82,0.73,0.01,1000.00,0.00,416.88,0.00,128.22
0.6,882.07,21.76,0.73,0.00,1000.00,0.00,417.84,0.07,129.06
0.65,839.96,47.11,0.74,0.01,1000.00,0.00,416.26,0.00,130.28
0.7,916.72,26.04,0.73,0.00,1000.00,0.00,416.60,0.00,130.31
