0.0,126565.72,6143.04,10.20,0.60,1000.00,0.00,532.25,0.00
0.05,122851.74,6818.74,10.65,0.39,1000.00,0.00,534.59,0.09
0.1,120159.28,10142.12,11.16,0.76,1000.00,0.00,534.18,0.00
0.15,125853.09,5981.42,10.88,0.33,1000.00,0.00,534.20,0.00
0.2,128009.92,9061.39,10.53,0.37,1000.00,0.00,534.50,0.00
0.25,118058.09,7390.25,11.10,0.30,1000.00,0.00,533.61,0.00
0.3,120722.36,11599.63,11.00,0.71,1000.00,0.00,534.02,0.00
0.35,105490.12,10024.76,11.27,0.54,1000.00,0.00,534.28,0.07
0.4,118629.73,11287.21,10.99,0.57,1000.00,0.00,534.14,0.00
0.45,113559.04,12437.03,10.81,0.37,1000.00,0.00,534.50,0.00
0.5,109132.71,8454.38,11.27,0.44,1000.00,0.00,534.18,0.11
0.55,106186.30,9548.27,10.81,0.38,1000.00,0.00,534.03,0.00
0.6,112970.75,12639.09,10.82,0.36,1000.00,0.00,533.99,0.13
0.65,91995.63,13958.16,10.85,0.27,1000.00,0.00,534.45,0.09
0.7,103671.96,10425.11,11.40,0.42,1000.00,0.00,534.01,0.11
