0.0,572.29,67.67,1.01,0.12,110.15,13.14,531.76,0.09
0.05,575.97,87.08,1.10,0.16,111.09,15.95,534.04,0.00
0.1,489.50,62.77,0.93,0.11,94.14,10.95,534.06,0.00
0.15,567.34,80.60,1.08,0.16,108.89,16.49,534.53,0.07
0.2,523.06,39.87,1.01,0.08,102.69,8.21,534.21,0.00
0.25,579.94,72.45,1.11,0.13,111.43,13.60,534.57,0.15
0.3,517.05,40.87,0.97,0.07,98.89,6.99,534.34,0.00
0.35,559.11,23.57,1.11,0.04,111.59,3.73,534.33,0.00
0.4,511.04,39.32,0.96,0.07,96.83,7.23,534.24,0.00
0.45,454.35,40.23,0.85,0.07,85.20,6.85,534.11,0.07
0.5,495.00,30.41,0.95,0.06,94.63,5.82,534.81,0.11
0.55,514.89,70.37,0.99,0.16,97.26,14.55,534.09,0.09
0.6,447.96,42.08,0.85,0.09,85.42,8.86,533.86,0.00
0.65,510.62,26.77,0.99,0.07,97.51,6.42,534.71,0.10
0.7,425.28,28.71,0.83,0.07,81.16,6.45,534.61,0.07
