0.0,21.06,9.65,0.03,0.01,49.80,10.48,422.43,0.00,39.24
0.05,55.47,30.52,0.05,0.02,86.60,34.55,417.49,0.00,39.87
0.1,52.74,33.52,0.04,0.02,81.50,35.24,416.91,0.00,39.27
0.15,30.93,13.74,0.03,0.01,57.70,15.78,417.07,0.00,39.16
0.2,18.72,7.59,0.02,0.00,46.10,7.94,417.12,0.00,37.62
0.25,10.03,4.13,0.02,0.01,28.70,16.44,417.20,0.00,41.28
0.3,12.18,9.84,0.01,0.01,22.30,20.66,416.96,0.00,36.46
0.35,13.58,12.40,0.01,0.01,22.40,22.95,416.82,0.00,37.91
0.4,20.08,26.94,0.01,0.02,27.30,37.75,416.74,0.00,36.78
0.45,21.22,17.41,0.03,0.01,49.40,20.53,417.03,0.00,38.8
0.5,8.55,2.15,0.01,0.01,16.20,10.68,416.96,0.00,36.21
0.55,11.02,5.32,0.01,0.01,18.80,13.24,416.64,0.00,37.05
0.6,16.17,5.16,0.01,0.01,23.10,11.74,416.83,0.00,36.76
0.65,12.25,3.91,0.02,0.01,28.40,8.98,416.71,0.00,36.83
0.7,25.27,10.67,0.02,0.01,28.50,14.34,417.35,0.00,46.61
