0.0,902.40,203.99,4.24,1.09,545.75,135.53,509.34,0.11
0.05,306.70,95.79,3.22,1.39,358.46,144.48,514.51,0.17
0.1,591.54,101.41,4.31,0.84,478.92,91.61,514.26,0.21
0.15,830.31,147.65,5.33,0.77,592.58,81.59,513.97,0.20
0.2,363.71,42.49,6.47,0.94,704.38,96.26,511.77,0.00
0.25,319.91,57.49,7.86,0.99,845.66,105.61,514.12,0.15
0.3,362.26,59.42,7.95,0.82,850.61,82.50,513.33,0.20
0.35,451.43,69.41,9.61,0.57,980.50,58.50,514.44,0.13
0.4,702.08,6.22,9.18,0.22,1000.00,0.00,511.65,0.10
0.45,677.03,11.22,9.11,0.25,1000.00,0.00,514.45,0.21
0.5,639.96,20.26,9.43,0.19,1000.00,0.00,514.09,0.00
0.55,944.47,5.26,9.48,0.22,1000.00,0.00,513.30,0.00
0.6,906.85,6.76,9.32,0.29,1000.00,0.00,513.13,0.22
0.65,893.89,4.54,9.29,0.25,1000.00,0.00,513.41,0.20
0.7,945.03,1.47,9.51,0.12,1000.00,0.00,513.33,0.07
