0.0,902.40,203.99,3.48,0.87,545.75,135.53,510.07,0.00
0.05,304.86,105.19,2.46,1.12,320.70,142.97,514.62,0.11
0.1,151.98,73.87,1.78,1.08,230.09,137.85,513.80,0.22
0.15,135.21,41.92,1.86,0.86,245.75,113.15,514.24,0.22
0.2,59.29,52.22,2.18,0.70,283.52,89.54,515.22,0.14
0.25,127.05,36.91,2.80,1.08,366.75,140.03,515.30,0.24
0.3,113.09,52.06,2.79,0.87,360.24,112.24,514.74,0.07
0.35,216.35,43.43,3.96,1.46,512.73,186.50,513.72,0.07
0.4,460.66,51.06,7.14,0.63,925.08,81.67,514.53,0.11
0.45,392.34,108.59,5.58,0.70,731.26,89.63,514.41,0.22
0.5,896.69,149.30,7.00,0.52,924.42,68.93,514.87,0.10
0.55,918.31,28.28,7.55,0.02,1000.00,0.00,514.07,0.18
0.6,871.45,9.46,7.60,0.01,1000.00,0.00,514.77,0.19
0.65,656.68,29.40,7.70,0.02,1000.00,0.00,514.21,0.11
0.7,580.61,40.13,7.54,0.03,1000.00,0.00,514.78,0.22
