11.63,9.02,0.19,0.06,36.60,11.66,531.70,0.00
17.08,8.04,0.28,0.07,43.96,10.75,535.86,0.00
27.52,9.95,0.38,0.08,56.56,11.50,564.36,0.00
87.86,3.30,0.44,0.04,65.86,4.84,428.37,0.00
