0.0,4198.25,196.72,9.98,0.38,969.68,37.49,503.08,0.00
0.05,3500.95,210.92,10.52,0.48,901.35,40.31,508.40,0.10
0.1,3453.47,207.54,10.50,0.40,879.36,34.22,509.31,0.26
0.15,3335.86,363.40,10.45,0.84,862.41,70.27,509.01,0.13
0.2,3124.24,384.66,9.90,1.13,826.03,92.01,509.24,0.00
0.25,3219.07,441.47,9.88,1.22,837.59,102.66,509.44,0.11
0.3,2992.98,322.61,9.46,0.84,795.92,72.08,507.77,0.07
0.35,3507.94,339.40,10.77,0.89,890.22,72.08,508.47,0.15
0.4,3017.59,223.78,9.71,0.65,795.15,53.15,509.26,0.30
0.45,3163.98,322.00,9.78,0.95,812.39,79.90,509.18,0.10
0.5,2569.53,450.47,8.06,1.37,667.73,111.53,510.01,0.13
0.55,2545.73,325.17,8.33,0.92,680.30,76.04,508.27,0.09
0.6,163.26,4.10,0.57,0.03,47.65,2.51,509.41,0.00
0.65,182.18,9.44,0.64,0.03,55.15,2.55,509.38,0.13
0.7,175.71,7.66,0.60,0.02,51.27,1.71,509.23,0.20
