0.0,4251.20,238.82,1.01,0.01,1000.00,0.00,500.27,0.00,510.09
0.05,4234.19,396.13,0.98,0.06,981.00,57.00,499.40,0.00,530.8
0.1,3767.84,1101.31,0.89,0.24,888.90,234.20,500.50,0.00,500.78
0.15,4109.99,679.37,0.98,0.11,964.10,107.70,499.88,0.00,433.68
0.2,4100.91,295.71,0.99,0.01,1000.00,0.00,500.11,0.00,332.58
0.25,4278.16,129.57,0.98,0.01,1000.00,0.00,499.72,0.07,388.43
0.3,3754.85,1233.05,0.89,0.22,888.60,224.63,500.25,0.00,585.97
0.35,3870.08,715.25,0.91,0.12,938.30,123.40,499.83,0.00,493.31
0.4,4034.39,807.44,0.92,0.15,950.10,149.70,499.86,0.00,550.8
0.45,3654.46,1134.18,0.89,0.23,897.30,230.68,499.36,0.00,381.18
0.5,4196.25,242.18,0.98,0.02,994.40,16.80,499.82,0.00,355.28
0.55,3415.67,682.27,0.88,0.16,884.70,162.35,500.07,0.00,462.11
0.6,411.48,279.81,0.16,0.09,161.20,96.57,499.41,0.10,123.72
0.65,621.17,481.16,0.20,0.14,208.40,135.52,499.31,0.00,117.51
0.7,309.28,154.04,0.10,0.04,107.30,42.91,498.69,0.00,92.72
