0.0,3499.52,1394.36,0.55,0.20,822.60,305.61,500.66,0.00
0.05,282.28,230.42,0.07,0.04,106.90,66.70,498.57,0.11
0.1,-2027.91,4910.01,0.30,0.28,433.10,409.01,499.84,0.00
0.15,-841.88,3390.38,0.44,0.27,645.90,390.24,498.97,0.00
0.2,29.99,41.44,0.03,0.03,44.50,38.97,498.59,0.00
0.25,148.71,135.26,0.05,0.03,73.00,39.30,499.97,0.00
0.3,478.98,388.30,0.17,0.19,252.80,276.69,499.63,0.00
0.35,145.43,113.63,0.05,0.03,75.20,40.66,499.50,0.00
0.4,639.45,404.42,0.47,0.29,693.50,425.89,499.25,0.07
0.45,572.82,385.62,0.38,0.27,559.70,403.43,499.19,0.10
0.5,646.51,333.88,0.55,0.25,813.30,373.76,499.29,0.00
0.55,834.71,4.63,0.67,0.00,1000.00,0.00,498.48,0.00
0.6,838.74,4.81,0.67,0.00,1000.00,0.00,499.73,0.00
0.65,854.45,32.33,0.67,0.01,1000.00,0.00,498.49,0.07
0.7,813.01,19.55,0.66,0.00,1000.00,0.00,498.99,0.00
