0.0,3621.17,577.04,5.52,0.80,832.88,121.34,499.60,0.00
0.05,3631.21,266.16,6.54,0.42,819.61,52.24,503.07,0.00
0.1,3735.88,404.07,6.79,0.82,856.44,103.47,503.07,0.00
0.15,3041.01,435.58,6.07,0.75,771.52,94.30,503.78,0.00
0.2,1240.49,293.53,2.74,0.65,350.49,82.19,503.23,0.11
0.25,1408.90,485.61,3.38,0.72,429.83,93.26,503.61,0.00
0.3,471.00,202.36,1.96,0.55,240.27,65.91,502.75,0.00
0.35,228.73,150.48,1.33,0.64,167.09,77.56,503.30,0.00
0.4,707.22,255.48,2.64,0.73,324.65,86.68,503.14,0.00
0.45,107.42,75.39,1.17,0.57,143.27,68.60,503.54,0.00
0.5,130.06,136.85,1.23,0.62,152.74,74.26,503.61,0.00
0.55,46.29,112.28,0.96,0.67,115.58,77.86,503.30,0.00
0.6,316.97,68.84,8.24,0.05,1000.00,0.00,503.86,0.00
0.65,647.54,13.61,8.29,0.02,1000.00,0.00,504.43,0.10
0.7,604.91,55.88,8.21,0.02,1000.00,0.00,503.83,0.00
