0.0,1209.78,219.86,2.02,0.38,250.79,47.82,429.35,0.00
0.05,1179.39,276.64,2.36,0.56,246.39,58.33,436.28,0.88
0.1,1134.63,172.37,2.23,0.33,241.45,36.09,434.10,1.13
0.15,488.94,90.07,0.95,0.18,103.23,19.37,434.20,0.62
0.2,458.31,82.70,0.88,0.16,96.83,17.52,434.06,0.85
0.25,500.80,73.39,0.93,0.14,102.48,15.18,434.94,1.14
0.3,335.35,30.79,0.63,0.06,71.63,6.83,435.51,0.96
0.35,237.33,58.03,0.44,0.11,50.06,12.56,433.44,1.01
0.4,188.42,20.00,0.34,0.04,38.89,4.37,434.15,0.45
0.45,164.67,9.66,0.28,0.01,31.48,1.37,433.02,1.08
0.5,269.94,27.51,0.48,0.05,54.25,5.63,435.10,0.88
0.55,218.89,26.27,0.38,0.05,42.57,4.58,433.90,0.78
0.6,145.43,13.22,0.27,0.02,30.99,2.84,433.07,0.48
0.65,115.06,21.19,0.20,0.04,23.00,3.99,433.33,0.96
0.7,79.49,2.21,0.15,0.01,16.87,0.54,434.70,0.82
