0.05,81531.01,2331.43,6.13,0.44,1000.00,0.00,385.05,1.07
0.1,80757.39,1480.60,7.60,1.69,1000.00,0.00,383.31,0.64
0.15,41512.75,214.64,9.17,0.11,1000.00,0.00,385.16,0.77
0.2,41512.99,214.41,9.85,1.32,1000.00,0.00,384.45,0.82
0.25,39567.00,6.20,10.58,2.18,1000.00,0.00,384.25,0.64
0.3,39460.92,15.83,9.01,0.90,1000.00,0.00,384.29,1.00
0.35,30236.37,283.55,9.30,0.85,1000.00,0.00,384.71,0.82
0.4,32121.37,174.61,8.89,1.68,1000.00,0.00,384.15,0.58
0.45,36976.26,132.72,7.66,0.01,1000.00,0.00,385.63,0.95
0.5,36976.10,133.33,7.65,0.01,1000.00,0.00,384.39,0.41
0.55,42890.73,23.17,8.47,0.02,1000.00,0.00,384.54,0.73
0.6,63448.96,5844.43,8.33,0.20,1000.00,0.00,384.43,0.19
0.65,39907.67,87.08,10.59,2.05,1000.00,0.00,384.28,0.93
0.7,39854.45,92.04,10.16,2.09,1000.00,0.00,384.23,0.98
