0.05,503.31,93.87,3.63,0.93,480.75,120.29,383.03,0.63
0.1,451.02,85.60,4.54,1.21,599.58,159.96,383.43,0.62
0.15,404.54,52.60,3.91,0.67,513.22,87.42,383.24,0.48
0.2,398.28,94.84,5.82,1.10,762.98,154.00,382.67,0.53
0.25,401.52,75.69,5.97,0.96,774.11,125.49,383.26,0.66
0.3,354.02,76.23,5.48,1.04,723.95,135.11,383.27,0.69
0.35,407.79,85.38,5.89,1.00,760.76,126.10,383.18,0.55
0.4,461.81,100.95,5.57,0.86,739.54,115.02,383.61,0.53
0.45,554.24,78.68,5.13,0.88,671.19,114.62,383.44,0.80
0.5,774.37,84.57,6.40,0.71,825.36,86.71,382.90,0.54
0.55,642.69,89.98,5.68,0.68,749.41,87.00,383.11,0.79
0.6,852.39,68.67,7.08,0.54,943.73,75.68,383.67,0.90
0.65,871.33,54.37,7.08,0.55,926.34,68.72,383.13,0.58
0.7,863.30,18.15,7.59,0.11,1000.00,0.00,383.91,0.68
