0.0,1659.59,1051.21,0.28,0.18,348.00,222.97,429.47,0.00,127.03
0.05,1059.68,502.61,0.18,0.08,224.20,104.65,422.45,0.00,169.22
0.1,1746.07,1099.83,0.31,0.20,386.30,247.61,421.75,0.00,138.68
0.15,587.74,117.23,0.10,0.02,123.80,28.03,422.20,0.00,81.76
0.2,604.81,205.10,0.10,0.03,122.90,40.46,422.42,0.00,100.44
0.25,443.88,185.78,0.07,0.03,89.20,38.74,421.83,0.00,70.92
0.3,354.66,203.29,0.06,0.04,68.90,42.08,421.81,0.00,64.74
0.35,436.45,148.58,0.08,0.03,83.60,28.89,423.41,0.37,62.01
0.4,390.74,102.88,0.07,0.02,76.20,20.26,423.44,0.36,68.69
0.45,369.54,128.25,0.08,0.03,76.30,27.36,423.84,0.31,61.11
0.5,366.36,105.62,0.07,0.02,72.50,22.46,423.55,0.34,58.73
0.55,262.07,112.17,0.05,0.02,50.90,21.32,423.96,0.31,49.71
0.6,219.07,99.36,0.03,0.01,41.40,17.00,422.04,0.11,50.12
0.65,230.01,28.09,0.03,0.01,49.20,6.24,421.68,0.00,52.08
0.7,281.92,58.47,0.04,0.01,57.10,11.10,421.57,0.00,52.17
