0.05,4510.11,180.17,1.37,0.00,1000.00,0.00,381.55,0.37
0.1,1971.08,70.33,1.38,0.00,1000.00,0.00,381.23,0.75
0.15,1684.93,67.09,1.37,0.01,1000.00,0.00,382.66,0.66
0.2,1591.62,114.09,1.50,0.33,1000.00,0.00,382.63,1.29
0.25,485.22,220.60,1.39,0.01,1000.00,0.00,380.83,0.41
0.3,497.76,140.14,1.38,0.01,1000.00,0.00,381.26,0.41
0.35,491.97,109.25,1.39,0.01,1000.00,0.00,381.05,0.53
0.4,351.94,135.75,1.36,0.01,1000.00,0.00,381.28,0.42
0.45,-49.81,16.56,1.39,0.00,1000.00,0.00,380.86,0.47
0.5,-53.18,18.62,1.43,0.01,1000.00,0.00,381.02,0.46
0.55,11.53,9.74,1.38,0.01,1000.00,0.00,381.61,0.49
0.6,-199.33,0.54,1.39,0.00,1000.00,0.00,380.98,0.43
0.65,-175.10,1.25,1.81,0.81,1000.00,0.00,382.42,1.08
0.7,-182.09,0.35,1.37,0.01,1000.00,0.00,381.06,0.60
