0.0,5040.01,11.94,0.88,0.01,1000.00,0.00,431.82,0.00,447.76
0.05,5037.05,20.38,0.90,0.01,1000.00,0.00,423.91,0.00,485.47
0.1,4998.66,181.20,0.88,0.04,987.70,36.90,423.71,0.00,495.14
0.15,1146.19,819.67,0.18,0.13,236.60,169.21,423.45,0.00,120.8
0.2,720.22,275.42,0.12,0.05,148.70,57.04,423.42,0.00,93.56
0.25,461.68,299.73,0.09,0.05,102.60,60.79,423.18,0.00,65.94
0.3,628.68,157.25,0.12,0.03,125.70,31.15,423.38,0.00,100.69
0.35,500.53,128.12,0.10,0.02,99.90,23.73,424.83,0.32,86.71
0.4,424.19,126.50,0.09,0.02,86.90,22.77,425.01,0.44,63.81
0.45,276.56,114.18,0.09,0.04,59.80,23.41,424.69,0.21,58.53
0.5,519.61,194.98,0.15,0.06,101.90,36.37,425.43,0.27,69.62
0.55,506.04,198.92,0.11,0.04,98.20,37.56,425.77,0.32,61.47
0.6,524.56,140.38,0.08,0.02,102.30,25.93,422.61,0.00,74.97
0.65,174.46,88.47,0.03,0.01,36.70,17.60,422.57,0.00,46.37
0.7,242.14,88.45,0.04,0.01,49.40,16.03,423.07,0.00,49.36
