0.0,8236.36,168.30,2.60,0.02,1000.00,0.00,425.43,0.00
0.05,8410.34,55.45,3.59,0.15,1000.00,0.00,430.32,0.74
0.1,8127.39,48.50,3.59,0.04,1000.00,0.00,429.58,0.39
0.15,6558.09,168.86,3.56,0.11,1000.00,0.00,429.91,0.56
0.2,6262.01,131.23,3.66,0.19,1000.00,0.00,429.87,0.20
0.25,4936.45,122.28,3.54,0.13,1000.00,0.00,429.88,0.40
0.3,3855.47,186.87,3.57,0.05,1000.00,0.00,430.15,0.22
0.35,3579.82,104.59,3.56,0.08,1000.00,0.00,430.08,0.07
0.4,2252.97,70.53,3.59,0.05,1000.00,0.00,429.39,0.28
0.45,2015.11,41.60,3.64,0.10,1000.00,0.00,430.90,0.38
0.5,1917.48,34.55,3.59,0.10,1000.00,0.00,429.33,0.66
0.55,1060.74,17.38,3.67,0.23,1000.00,0.00,428.82,0.49
0.6,732.58,23.58,3.96,0.46,1000.00,0.00,429.68,0.61
0.65,839.35,21.74,4.00,0.39,1000.00,0.00,428.67,0.40
0.7,219.62,11.84,3.80,0.19,1000.00,0.00,429.69,0.16
