0.0,5003.56,75.31,8.66,0.12,993.25,14.80,431.45,0.00
0.05,4409.01,249.33,8.52,0.48,857.93,48.85,437.75,0.34
0.1,2926.90,390.89,5.58,0.76,571.03,77.06,437.21,0.64
0.15,649.32,61.58,1.20,0.12,129.24,13.27,437.76,1.53
0.2,516.27,44.86,0.98,0.09,103.68,9.04,436.62,0.53
0.25,486.22,38.48,0.90,0.08,92.72,7.59,436.59,1.10
0.3,331.86,36.49,0.63,0.07,64.88,7.16,436.48,0.46
0.35,217.73,31.61,0.45,0.07,46.01,6.56,437.24,0.72
0.4,336.08,14.83,0.66,0.03,66.61,3.05,437.01,0.66
0.45,352.31,24.47,0.69,0.05,70.44,5.07,437.85,0.47
0.5,399.12,30.52,0.76,0.07,78.70,6.59,436.87,0.75
0.55,339.66,8.72,0.67,0.02,68.10,1.94,436.97,0.56
0.6,343.35,15.47,0.64,0.03,66.81,3.04,437.31,0.56
0.65,305.19,14.24,0.57,0.03,60.78,2.99,437.17,0.51
0.7,322.63,12.35,0.59,0.03,62.76,2.55,437.61,0.66
