0.0,3351.91,111.66,6.75,0.23,981.11,29.86,379.85,0.39
0.05,2724.93,160.03,6.81,0.41,907.93,54.96,383.71,0.42
0.1,3002.06,104.15,7.65,0.09,1000.00,0.00,383.70,0.56
0.15,2486.10,168.14,7.06,0.42,938.48,56.69,383.37,0.41
0.2,2059.55,260.38,6.81,0.66,907.59,87.68,383.94,0.72
0.25,2204.22,203.57,7.18,0.43,962.88,56.59,384.17,0.67
0.3,1051.98,68.69,7.52,0.10,1000.00,0.00,383.72,0.78
0.35,988.28,36.58,7.62,0.08,1000.00,0.00,383.46,0.69
0.4,1119.54,84.42,7.52,0.20,991.51,25.47,384.67,0.75
0.45,1608.15,39.83,7.59,0.05,1000.00,0.00,384.27,0.53
0.5,1977.14,64.79,7.52,0.11,1000.00,0.00,384.54,0.65
0.55,706.93,19.16,7.65,0.17,1000.00,0.00,384.23,0.67
0.6,1152.12,95.18,7.59,0.12,1000.00,0.00,383.78,0.72
0.65,760.75,24.98,7.53,0.06,1000.00,0.00,383.58,0.62
0.7,524.63,4.69,7.49,0.09,1000.00,0.00,383.53,0.67
