0.0,3269.79,111.47,10.10,0.40,959.47,37.85,429.69,0.51
0.05,3308.26,128.53,11.32,0.43,969.11,34.70,433.11,0.91
0.1,3278.02,179.40,11.27,0.61,961.18,52.12,433.23,0.94
0.15,3066.90,270.39,10.86,0.91,924.91,76.45,433.22,0.66
0.2,2874.70,213.59,10.91,0.73,924.57,64.18,433.32,0.95
0.25,2773.00,266.94,11.04,0.54,944.55,46.05,432.71,0.70
0.3,2298.77,347.02,10.39,1.23,881.73,105.16,433.61,0.82
0.35,1621.50,303.54,9.01,0.83,761.53,73.57,433.71,0.63
0.4,801.56,313.79,7.27,1.05,608.23,81.83,433.69,0.62
0.45,799.92,277.69,6.44,1.08,544.76,90.99,434.50,1.54
0.5,886.34,262.01,7.13,0.83,596.98,71.38,433.91,0.75
0.55,570.92,177.47,6.52,1.50,549.48,127.42,434.26,0.53
0.6,835.81,245.92,8.00,1.34,673.61,114.07,433.46,0.50
0.65,864.35,98.60,12.21,0.04,1000.00,0.00,433.05,0.72
0.7,774.98,50.50,12.09,0.46,982.37,35.40,434.14,0.88
