0.0,74.49,1.88,0.01,0.00,15.80,0.40,447.85,0.43,44.99
0.05,72.07,0.15,0.02,0.00,16.00,0.00,441.62,0.57,45.36
0.1,-85.88,50.07,0.02,0.00,21.30,0.78,441.87,0.49,46.43
0.15,74.02,0.13,0.01,0.00,16.00,0.00,441.43,0.48,44.16
0.2,77.27,2.31,0.01,0.00,16.40,0.49,439.47,0.00,43.99
0.25,79.81,0.13,0.01,0.00,17.00,0.00,440.12,0.00,44.09
0.3,81.54,0.46,0.01,0.00,17.00,0.00,438.89,0.11,44.14
0.35,-85.06,114.84,0.02,0.00,26.80,1.78,439.26,0.00,45.65
0.4,-166.90,62.22,0.02,0.00,23.50,1.02,439.03,0.00,44.88
0.45,-118.54,29.46,0.01,0.00,23.30,0.46,439.06,0.00,45.42
0.5,-84.88,40.43,0.02,0.00,28.10,0.30,438.93,0.00,43.92
0.55,-29.11,17.59,0.02,0.01,33.70,6.44,438.87,0.00,41.87
0.6,-16.84,30.84,0.01,0.00,22.20,0.40,438.86,0.00,41.1
0.65,55.48,13.11,0.02,0.00,28.90,0.70,438.59,0.00,42.07
0.7,61.41,11.30,0.02,0.00,28.20,0.40,439.22,0.00,40.98
