0.0,928.55,155.56,3.92,0.75,748.39,143.18,445.77,0.00
0.05,930.85,134.28,4.59,0.54,735.79,88.63,447.75,0.38
0.1,948.16,113.31,4.77,0.56,773.16,89.84,447.14,0.00
0.15,825.98,153.29,4.34,0.80,701.13,129.37,447.57,0.18
0.2,1022.17,133.57,5.28,0.65,849.81,105.17,447.33,0.18
0.25,1056.16,123.46,5.39,0.54,871.54,87.00,447.58,0.07
0.3,1167.04,95.13,5.71,0.48,918.18,76.92,447.91,0.52
0.35,1250.89,77.98,5.62,0.35,909.17,54.89,447.37,0.07
0.4,1310.07,17.73,6.35,0.04,1000.00,0.00,447.62,0.24
0.45,1304.97,48.54,6.12,0.23,971.77,34.50,447.44,0.35
0.5,1059.43,10.42,6.45,0.02,1000.00,0.00,447.74,0.26
0.55,947.50,5.12,6.62,0.06,1000.00,0.00,447.52,0.22
0.6,993.64,1.95,6.76,0.04,1000.00,0.00,447.00,0.00
0.65,1048.49,9.30,6.46,0.03,1000.00,0.00,447.35,0.20
0.7,963.09,7.63,6.31,0.02,1000.00,0.00,447.27,0.00
