0.0,160.82,2.93,0.28,0.01,81.58,1.31,445.64,0.09
0.05,161.29,3.09,0.36,0.01,81.75,1.37,447.34,0.21
0.1,161.91,1.51,0.35,0.00,81.96,0.68,447.77,0.00
0.15,161.91,1.74,0.36,0.00,81.96,0.79,447.55,0.00
0.2,164.17,1.35,0.36,0.00,82.73,0.61,447.74,0.00
0.25,158.37,1.46,0.35,0.00,80.42,0.64,448.01,0.20
0.3,160.12,1.48,0.35,0.00,81.18,0.66,447.75,0.00
0.35,136.62,11.25,0.31,0.02,71.17,5.17,447.56,0.32
0.4,156.80,2.77,0.34,0.01,79.62,1.27,447.42,0.00
0.45,109.67,10.42,0.25,0.02,58.64,4.66,447.02,0.00
0.5,9.13,0.07,0.04,0.00,9.01,0.03,447.71,0.00
0.55,79.24,7.79,0.19,0.02,43.83,3.72,447.37,0.00
0.6,7.44,0.02,0.04,0.00,8.00,0.00,447.06,0.00
0.65,114.85,7.82,0.27,0.02,60.91,3.32,447.62,0.00
0.7,7.29,0.02,0.04,0.00,8.00,0.00,447.67,0.00
